Log created	2023/03/05 00:02:48.218
14:20:38.802	Sent Doone: ChangePattern 211
14:20:39.924	Message Size: 12; Checksum: 12; Payload length: 1, Payload: ACK
14:20:39.929	Received ACK from Doone.
14:20:39.943	Waited for the PG Ready:	1136ms
14:20:39.947	Delay: 100 (ms)
14:20:40.052	Show Pattern sent #14, for sequence step #: 20
14:20:40.285	Show Pattern entered #15, for sequence step #: 22
14:20:40.285	Exposure Complete (14), Sequence Index: 20, Channel: 1. Exposure truly complete: 2023/03/05 14:20:40.285
14:20:40.392	Sent : CHGPTN 212
14:20:40.405	Sent Doone: ChangePattern 212
14:20:41.592	Message Size: 12; Checksum: 12; Payload length: 1, Payload: ACK
14:20:41.598	Received ACK from Doone.
14:20:41.609	Waited for the PG Ready:	1196ms
14:20:41.613	Delay: 100 (ms)
14:20:41.720	Show Pattern sent #15, for sequence step #: 22
14:20:41.941	Enter Analysis Complete (17), Sequence Index: 20, Channel: 1
14:20:41.946	Points of Interest (Max/Min)*100 Result = 93.6307
14:20:41.951	Exit Analysis Complete (17), Sequence Index: 20, Channel: 1
14:20:42.024	Show Pattern entered #16, for sequence step #: 24
14:20:42.024	Exposure Complete (15), Sequence Index: 22, Channel: 1. Exposure truly complete: 2023/03/05 14:20:42.024
14:20:42.029	Delay: 100 (ms)
14:20:42.136	Sent : CHGPTNDONE
14:20:42.142	Show Pattern sent #16, for sequence step #: 24
14:20:42.156	Sent DooneChgPtnDone
14:20:42.361	Enter Analysis Complete (18), Sequence Index: 19, Channel: 1
14:20:42.366	Exit Analysis Complete (18), Sequence Index: 19, Channel: 1
14:20:44.014	Enter Analysis Complete (19), Sequence Index: 21, Channel: 1
14:20:44.019	Exit Analysis Complete (19), Sequence Index: 21, Channel: 1
14:20:44.029	Exposure Complete (16), Sequence Index: 24, Channel: 1. Exposure truly complete: 2023/03/05 14:20:44.029
14:20:44.051	Enter Analysis Complete (20), Sequence Index: 22, Channel: 1
14:20:44.065	Points of Interest (Max/Min)*100 Result = 93.9021
14:20:44.071	Exit Analysis Complete (20), Sequence Index: 22, Channel: 1
14:20:46.423	Enter Analysis Complete (21), Sequence Index: 23, Channel: 1
14:20:46.428	Exit Analysis Complete (21), Sequence Index: 23, Channel: 1
14:21:10.363	Enter Analysis Complete (22), Sequence Index: 24, Channel: 1
14:21:10.367	ScratchDustDetect succeeded on attempt #1
14:21:10.371	ScratchDustDetect performed
14:21:10.375	Dove2.0 PG received Bin File Path name from analysis: E:\POCB\HEX\20230305\D953-CB-A_V6p1\A4YS2B002923AE8_20230305142044\NyPucData_A4YS2B002923AE8_PUC_1G1O.txt and device resolution: 1179,2556
14:21:10.379	Sending Doone CorrectionData
14:21:10.593	Sent : POCBDATA RMD 708618
14:21:10.598	Sent Doone CorrectionData with data size: 708618, and Demura Mode: RMD
14:21:10.607	Message Size: 12; Checksum: 12; Payload length: 1, Payload: ACK
14:21:10.612	Received ACK from Doone.
14:21:10.617	Waited for the PG Ready:	15ms
14:21:10.678	Enter Sequence Complete, # Analyses Complete: 21, Cancel reason: , TT Ended: False
14:21:10.682	Waiting for all analyses to complete
14:21:10.721	Sent : POCBPATH E:\POCB\HEX\20230305\D953-CB-A_V6p1\A4YS2B002923AE8_20230305142044\NyPucData_A4YS2B002923AE8_PUC_1G1O.txt
14:21:10.725	Exit Analysis Complete (22), Sequence Index: 24, Channel: 1
14:21:10.722	Message Size: 12; Checksum: 12; Payload length: 1, Payload: ACK
14:21:10.732	Received ACK from Doone.
14:21:23.541	Message Size: 12; Checksum: 12; Payload length: 1, Payload: END
14:21:23.547	Received End Demura Inspection command.
14:21:23.650	Sent : ACK
14:21:23.654	Sent END Demura Inspection response: ACK
14:21:23.662	All analyses complete
14:21:23.672	Wrote CCD Line results
14:21:23.676	Calling Generate Unit Results
14:21:23.680	Start writing Result report
14:21:23.686	End writing Result report
14:21:23.690	Back from Calling Generate Unit Results
14:21:23.794	Sent : RESULT OK -1.00 -1.00 -1.00 -1.00 -1.00 25 INFO=DUTROTANGLE,0.03,DUTWIDTH,2958,DUTHEIGHT,6412,DUTSHIFTX,10.5,DUTSHIFTY,-.5,MTF,88.44,MTF_CENTER,90.14,MTF_UL,89.40,MTF_UR,82.14,MTF_LL,89.94,MTF_LR,85.21,KeystoneH,0.0110,KeystoneV,0.0161,CCD_G36-1,1.15,CCD_G36-2,0.57,CCD_G36-3,0.97,CCD_G36-4,0.73,CCD_G36-5,0.21,CCD_G36-6,0.85,CCD_G36-7,0.40,CCD_G36-8,0.27,CCD_G36-9,0.29,CCD_G36-10,0.37,CCD_G32-1,1.30,CCD_G32-2,0.66,CCD_G32-3,1.02,CCD_G32-4,0.80,CCD_G32-5,0.13,CCD_G32-6,0.75,CCD_G32-7,0.35,CCD_G32-8,0.37,CCD_G32-9,0.23,CCD_G32-10,0.43,CCD_G216-1,0.45,CCD_G216-2,0.16,CCD_G216-3,0.14,CCD_G216-4,0.26,CCD_G216-5,0.15,CCD_G216-6,0.29,CCD_G216-7,0.09,CCD_G216-8,0.24,CCD_G216-9,0.22,CCD_G216-10,0.13,CCD_G192-1,0.42,CCD_G192-2,0.12,CCD_G192-3,0.19,CCD_G192-4,0.31,CCD_G192-5,0.14,CCD_G192-6,0.33,CCD_G192-7,0.08,CCD_G192-8,0.20,CCD_G192-9,0.39,CCD_G192-10,0.13,CCD_R36-1,0.24,CCD_R36-2,0.42,CCD_R36-3,1.25,CCD_R36-4,0.65,CCD_R36-5,0.74,CCD_R36-6,0.36,CCD_R36-7,1.08,CCD_R36-8,0.83,CCD_R36-9,0.58,CCD_R36-10,0.25,CCD_R32-1,0.17,CCD_R32-2,0.53,CCD_R32-3,1.24,CCD_R32-4,0.69,CCD_R32-5,0.84,CCD_R32-6,0.32,CCD_R32-7,1.09,CCD_R32-8,0.91,CCD_R32-9,0.47,CCD_R32-10,0.30,CCD_R216-1,0.10,CCD_R216-2,0.14,CCD_R216-3,0.18,CCD_R216-4,0.08,CCD_R216-5,0.06,CCD_R216-6,0.08,CCD_R216-7,0.40,CCD_R216-8,0.39,CCD_R216-9,0.11,CCD_R216-10,0.07,CCD_R192-1,0.16,CCD_R192-2,0.17,CCD_R192-3,0.25,CCD_R192-4,0.18,CCD_R192-5,0.10,CCD_R192-6,0.14,CCD_R192-7,0.43,CCD_R192-8,0.38,CCD_R192-9,0.03,CCD_R192-10,0.02,CCD_B36-1,0.11,CCD_B36-2,0.40,CCD_B36-3,0.84,CCD_B36-4,0.20,CCD_B36-5,0.57,CCD_B36-6,0.21,CCD_B36-7,0.22,CCD_B36-8,0.09,CCD_B36-9,0.19,CCD_B36-10,0.04,CCD_B32-1,0.16,CCD_B32-2,0.49,CCD_B32-3,0.93,CCD_B32-4,0.21,CCD_B32-5,0.65,CCD_B32-6,0.24,CCD_B32-7,0.10,CCD_B32-8,0.12,CCD_B32-9,0.21,CCD_B32-10,0.03,CCD_B216-1,0.07,CCD_B216-2,0.11,CCD_B216-3,0.10,CCD_B216-4,0.08,CCD_B216-5,0.06,CCD_B216-6,0.07,CCD_B216-7,0.14,CCD_B216-8,0.15,CCD_B216-9,0.07,CCD_B216-10,0.04,CCD_B192-1,0.09,CCD_B192-2,0.14,CCD_B192-3,0.15,CCD_B192-4,0.04,CCD_B192-5,0.05,CCD_B192-6,0.09,CCD_B192-7,0.16,CCD_B192-8,0.21,CCD_B192-9,0.12,CCD_B192-10,0.05 NA
14:21:23.800	Message Size: 12; Checksum: 12; Payload length: 1, Payload: ACK
14:21:23.805	Received ACK from Doone.
14:21:23.814	Waited for the PG Ready:	15ms
14:21:23.818	Defect report is nothing, not writing Defect report
14:21:23.822	Moire report is nothing, not writing Moire report
14:21:23.825	PWMSignal report is nothing, not writing PWMSignal report
14:21:23.828	Exitting Sequence Complete
14:21:23.832	Enter Sequence Completed
14:21:23.835	Exitting Sequence Completed
14:21:25.514	Message Size: 17; Checksum: 17; Payload length: 1, Payload: SEQCHECK
14:21:25.518	Received SEQCHECK command
14:21:25.522	Sequence Calibration None Check Started
14:21:25.522	Sequence Calibration Compare Started
14:21:25.522	Sequence Parameter Check Started
14:21:25.525	Sequence Calibration None Check Finished, OK
14:21:25.639	Sequence Calibration Compare Finished, OK
14:21:28.729	Sequence Parameter Check Finished, OK
14:21:28.835	Sent : SEQCHECKDONE OK
14:55:45.045	Begin data deletion.
14:55:45.053	Deleted Image Files, DATABASE files, and POCB files.
14:55:45.057	Reset timer to delete Image Files.
15:55:45.100	Begin data deletion.
15:55:45.105	Deleted Image Files, DATABASE files, and POCB files.
15:55:45.109	Reset timer to delete Image Files.
16:55:45.144	Begin data deletion.
16:55:45.150	Deleted Image Files, DATABASE files, and POCB files.
16:55:45.153	Reset timer to delete Image Files.
17:55:45.213	Begin data deletion.
17:55:45.219	Deleted Image Files, DATABASE files, and POCB files.
17:55:45.222	Reset timer to delete Image Files.
18:55:45.249	Begin data deletion.
18:55:45.254	Deleted Image Files, DATABASE files, and POCB files.
18:55:45.258	Reset timer to delete Image Files.
19:55:45.327	Begin data deletion.
19:55:45.332	Deleted Image Files, DATABASE files, and POCB files.
19:55:45.336	Reset timer to delete Image Files.
20:55:45.405	Begin data deletion.
20:55:45.410	Deleted Image Files, DATABASE files, and POCB files.
20:55:45.414	Reset timer to delete Image Files.
21:55:45.430	Begin data deletion.
21:55:45.435	Deleted Image Files, DATABASE files, and POCB files.
21:55:45.439	Reset timer to delete Image Files.
22:55:45.462	Begin data deletion.
22:55:45.468	Deleted Image Files, DATABASE files, and POCB files.
22:55:45.472	Reset timer to delete Image Files.
23:55:45.502	Begin data deletion.
23:55:45.508	Deleted Image Files, DATABASE files, and POCB files.
23:55:45.511	Reset timer to delete Image Files.
